Name,Image URL,IMDB Bio Link,Birth Date,Birth Year,Birth Place,About,Height,Alternative Names,Nickname,Trademark,Star Sign
Pankaj Tripathi,"https://m.media-amazon.com/images/M/MV5BNjdlYjllOGMtYzU1OC00ODZjLWEzOGEtMGViOTYyYjU3YmJiXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR3,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm2690647/bio,,,,"Pankaj Tripathi is an actor, known for","5' 7½"" (1.71 m)",Pankaj Tripathy,,,
Om Prakash,"https://m.media-amazon.com/images/M/MV5BMWE3OTM3ODMtZGIzZC00YjU3LWIyZmItOGYxNDA3Mzg4NTk3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR19,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0695170/bio,December 19,1919,"Lahore, Punjab, British India [now Pakistan]","Om Prakash was born on December 19, 1919 in Lahore, Punjab, British India as Om Prakash Bakshi. He was an actor and director, known for",,"Omprakash,Om,Om Parkash",,,Sagittarius
Om Puri,"https://m.media-amazon.com/images/M/MV5BMTc4MjA5ODY4NF5BMl5BanBnXkFtZTcwNjUyMDUxMQ@@._V1_UY317_CR8,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0700875/bio,October 18,1950,"Ambala, Punjab, India","Om Puri was an Indian actor who has appeared in both mainstream Indian films and art films. His credits also include appearances in British and American films. He has received an honorary OBE. Puri was born in Ambala, Haryana. His father worked on the railways and served in the Indian Army. Puri graduated from the Film and Television Institute of ... Read more from IMDB Bio Link","5' 7"" (1.7 m)","Ompuri,OM Puri",,,Libra
Manu Rishi Chadha,"https://m.media-amazon.com/images/M/MV5BMmY4YzA5Y2UtYmI2Yi00MzNmLWJmZjQtYTY3YWYyYzBjYWQ3XkEyXkFqcGdeQXVyOTAyMDgxODQ@._V1_UY317_CR173,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm2286188/bio,,,,"Manu Rishi Chadha, one of the finest artists in our industry was born and raised in Delhi. His only dream was to become an actor and hence to hone his skills, he quit college to pursue theatre. He gave 10 years to theatre and eventually decided to move to Mumbai to give a bigger platform to his acting dreams. After a few attempts at acting which ... Read more from IMDB Bio Link",,"Manu Rishi Chadda,Mannu Rishi Chaddha,Manu Rishi Chaddha,Manurishi Chaddha,Manurishi Chadha,Manurishi,Manu Rishi",,,
Mukesh Tiwari,"https://m.media-amazon.com/images/M/MV5BMjAxNzA0MzkzNl5BMl5BanBnXkFtZTcwNjMyOTM0MQ@@._V1_UY317_CR135,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0864608/bio,August 24,1969,"Sagar, Madhya Pradesh, India","Mukesh Tiwari was born on August 24, 1969 in Sagar, Madhya Pradesh, India. He is an actor, known for",,Mukesh Tewari,,,Virgo
Manjot Singh,"https://m.media-amazon.com/images/M/MV5BNWY2N2E4Y2EtOGI2NS00YjkxLTgwMDAtNGU4MTZjN2RiZjAwXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm3190972/bio,,,,Manjot Singh is an Indian born actor whose portrayal of young Lucky in,,,,,
Lara Dutta,"https://m.media-amazon.com/images/M/MV5BNDk2OTk5NjYwNl5BMl5BanBnXkFtZTcwMzMyMDQ4Mg@@._V1_UY317_CR132,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm1069034/bio,April 16,1978,"Ghaziabad, Uttar Pradesh, India","It is not a secret that Lara Dutta is a beauty with brains. This was demonstrated when she scored the highest possible marks in the history of the Miss Universe Contest. After this she was crowned Miss Universe 2000, making history as not only the most beautiful but also the most intelligent young woman to wear this crown in the history of Miss ... Read more from IMDB Bio Link","5' 8"" (1.73 m)","Lara Bhupathi,Laara Dutta,Lara Dutta-Bhupathi",,,Aries
Kapil Sharma,"https://m.media-amazon.com/images/M/MV5BMjE5NzI3NjE1Ml5BMl5BanBnXkFtZTgwNTMxMjMzOTE@._V1_UY317_CR131,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm6151574/bio,April 2,1981,"Amritsar, Punjab, India","Kapil Sharma is an Indian stand-up comedian, TV anchor and singer.He was selected among top 100 celebrities in 2013 Forbes India magazines and he was ranked 96th in that list. Currently he hosts The Kapil Sharma Show.[2] He also hosted television comedy shows like Comedy Nights with Kapil, The Kapil Sharma Show, Family Time with Kapil, Chhote ... Read more from IMDB Bio Link","5' 6"" (1.68 m)",,,,Aries
Kanwaljit Singh,"https://m.media-amazon.com/images/M/MV5BZGRkNmZiYjItYTk5Yy00ODU1LThkNjAtYWQ4OGZjYTMxMDcwXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR5,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm1942776/bio,,,,"Kanwaljit Singh is an actor, known for","6' 1½"" (1.87 m)","Kanwaljeet,Kanwaljit,Kanwal Jeet Singh,Kanwaljeet Singh,Kawaljeet Singh",,,
Krishna Abhishek,"https://m.media-amazon.com/images/M/MV5BOWJmNDJkYjEtYmY5ZC00NmY5LTgyNTUtN2FjODQyZGZhNmIzL2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR15,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm2243737/bio,,,,"Krishna Abhishek is an actor and producer, known for","5' 10"" (1.78 m)",Krushna,,,
Mehmood,"https://m.media-amazon.com/images/M/MV5BMzI0OWZlOTQtNGJiNS00YzVhLWE1MGQtZGY3ZWUwYWJiOTZiXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR20,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0576454/bio,September 29,1932,"Bombay, Bombay Presidency, British India","Mehmood was born on September 29, 1932 in Bombay, Bombay Presidency, British India. He is known for his work on",,"Mahmood Ali,Mehmood Bhaijaan,Mehmood/Malabari Mahmood,Mahmood,Mahmud,Mehmud",,,Libra
Kalki Koechlin,"https://m.media-amazon.com/images/M/MV5BNzI4NDQyMjU2MF5BMl5BanBnXkFtZTgwMzc4ODEzOTE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm3202701/bio,January 10,1983,"Pondicherry, India",Kalki Koechlin was born to French parents in a small village in Pondicherry. Her parents had come to India as hippies in the 1970s and settled there after they fell in love with the country. Her parents are devotees of Sri Aurobindo. Kalki was studying in Ooty when her parents insisted that she attend university. She studied drama and theatre at ... Read more from IMDB Bio Link,"5' 4"" (1.63 m)",,,,Capricorn
Mammootty,"https://m.media-amazon.com/images/M/MV5BOTFjOGIwMmUtY2FlMS00ZWJlLThhOWItY2RmY2JmYTc0YTk5XkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0007123/bio,September 7,1951,"Chandiroor, Travancore, India","Malayalam film actor Mammootty was born to Ismail (an agriculturist) and Fatima (a homemaker). He had two younger brothers Ibrahim and Zakariah; and three sisters, Ameena, Sauda and Shafina. He did his high school (pre-degree) at Maharaja's College, Thevara and then studied law at Ernakulam Government Law College. It was during his days at ... Read more from IMDB Bio Link","5' 10"" (1.78 m)","Padmasree Mammootty,Muhammed Kutty Mammooty,Mammooty,big brother,cameo,Kalari gurukkal,hunter,Fisher man,business man",Mammukka,,Virgo
Karuna Bannerjee,"https://m.media-amazon.com/images/M/MV5BMTg1MzAzMDg0OV5BMl5BanBnXkFtZTgwMjYzMTI1NTE@._V1_UY317_CR112,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0052334/bio,December 25,1919,"Calcutta, Bengal Presidency, British India","Karuna Bannerjee was born on December 25, 1919 in Calcutta, Bengal Presidency, British India. She was an actress, known for",,"Karuna Bandopadhyay,Karuna Bandyopadhyay,Kanu Bannerjee,Karuna Banerji in subtitles",,,Capricorn
Kajol,"https://m.media-amazon.com/images/M/MV5BMjIwMjQ5MTQ4N15BMl5BanBnXkFtZTgwOTIyMDU0OTE@._V1_UY317_CR5,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0004418/bio,August 5,1974,"Bombay, Maharashtra, India","Kajol was born on August 5, 1974 in Bombay, Maharashtra, India as Kajol Mukherjee. She is an actress, known for","5' 1"" (1.55 m)","Kajol Ajay Devgan,Kajol Devgan",,Her uni-brow,Leo
Kulbhushan Kharbanda,"https://m.media-amazon.com/images/M/MV5BMTQ2ODU1NDM0MF5BMl5BanBnXkFtZTcwNjIzNTE3Mw@@._V1_UY317_CR109,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0451425/bio,October 21,1944,"Hasan Abdal, Punjab, British India","Kulbhushan Kharbanda was born on October 21, 1944 in Hasan Abdal, Punjab, British India. He is an actor, known for",,Kulbushan Kharbanda,,,Libra
Kay Kay Menon,"https://m.media-amazon.com/images/M/MV5BMTY4MjgwODk4MF5BMl5BanBnXkFtZTgwNzAxNzE0MjE@._V1_UY317_CR131,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm1946407/bio,October 2,1966,"Kerala, India","Kay Kay Menon was born on October 2, 1966 in Kerala, India as Krishna Kumar Menon. He is an actor, known for","5' 11"" (1.8 m)",Kay Kay,,,Libra
Jaswinder Bhalla,,https://www.imdb.com/name/nm3243068/bio,,,,"Jaswinder Bhalla is an actor and writer, known for",,,Chacha Chatar Singh,,
Konkona Sen Sharma,"https://m.media-amazon.com/images/M/MV5BMTU1NjUxNDYwNV5BMl5BanBnXkFtZTgwOTU3MDM0OTE@._V1_UY317_CR3,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm1234298/bio,December 3,1979,"New Delhi, India",Konkona Sen Sharma is an awarding winning actress and the daughter of the celebrated actress and director,,Konkona Sensharma,,,Sagittarius
Kangana Ranaut,"https://m.media-amazon.com/images/M/MV5BMTA2NTg0ODA1ODJeQTJeQWpwZ15BbWU4MDM0NDkxNTMy._V1_UY317_CR5,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm2144007/bio,March 20,1987,"Bhambla, Himachal Pradesh, India","Kangana was born on 20 March 1987 in Bhambla, near Manali, which is in the Mandi district of Himachal Pradesh. Her dad's name is Amardeep, who is a businessman and contractor, her mom, Asha, is a school-teacher. She has two sisters, eldest one is Rangoli, and she has a brother, Akshit, who is about a year younger than her. Her grandfather was an ... Read more from IMDB Bio Link","5' 5¼"" (1.66 m)",Kangna Ranaut,,,Pisces
Jaspal Bhatti,"https://m.media-amazon.com/images/M/MV5BZGQzZDgxNGMtZTdjYy00NzI3LThlOGItNjdmOTc5ZjQwYjcwXkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_UY317_CR17,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0080377/bio,March 3,1955,"Amritsar, Punjab, India",,,,,,Pisces
Kamal Haasan,"https://m.media-amazon.com/images/M/MV5BYmUxNTY0MWItODQ2My00YWMyLWFmODgtNTY1MTQ2ZjEwYzdlXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UY317_CR18,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0352032/bio,November 7,1954,"Ramanathapuram, Madras State, India","Kamal Haasan was born November 7, 1954 in Paramakudi, Tamil Nadu. He debuted as a child artiste in the film ""Kalathoor Kannamma"" (1960), which was released in the year 1960. Since then, he has starred in nearly 200 films in the major Indian languages - Tamil, Telugu, Kannada, Malayalam and Hindi. He has been a part of the film industry for 52 ... Read more from IMDB Bio Link","5' 5"" (1.65 m)","Kamala Haasan,Padmashree Kamal Haasan,Padmashri Kamal Haasan,Padmasree Kamal Haasan,Kamal Hassan,Kamalahasan,Kamalhassan,Kamal,Nayagan Ulaga",Universal Hero,Kamal Haasan has a unique distinction of sung song for 14 Music Composers.,Scorpio
Kader Khan,"https://m.media-amazon.com/images/M/MV5BNWYzY2QzNzUtYmVlYy00MmZjLTgxYjEtNjQyOWI5MzZkMDk4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR11,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0434318/bio,December 11,1937,"Pishin, Balochistan, British India","Kader Khan was born on December 11, 1937 in Pishin, Balochistan, British India. He was an actor and writer, known for",,"Kaderkhan,Kadar Khan,Prof. Kader Khan,Qadar Khan",,,Sagittarius
Johnny Lever,"https://m.media-amazon.com/images/M/MV5BMjMyMTQzMjk1MV5BMl5BanBnXkFtZTgwMDg5MTMzOTE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0505323/bio,August 14,1957,"Kanigiri, Andhra Pradesh, India","Johnny Lever, born in Andhra Pradesh and was brought up in Mumbai's King's Circle area (Dharavi). His mother tongue is Telugu. Johnny studied in Andhra Telugu School till the seventh grade but couldn't study further because of financial problems in his family, after which he decided to leave school and started working different kinds of odd jobs, ... Read more from IMDB Bio Link","5' 3"" (1.6 m)","Johnny Fever,Jhoney Lever,Jhonny Lever,Jhony Lever,Johney Lever,Johny Lever,Jonny Lever,Jony Lever,Johny Liver,Johnny Whisky",,,Leo
Jeetendra,"https://m.media-amazon.com/images/M/MV5BYThkMTY3NDktMDBiNy00NWFhLWIyOWEtNGRkNDRiMGJjMjZiXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR7,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0420090/bio,April 7,1942,"Amritsar, Punjab, British India","Ravi Kapoor was born in a business family that dealt with imitation Jewelery and used to live in a chawl. While supplying jewelry to V. Shantaram, he was cast as Sandhya's double in the 1959 movie 'Navrang'. His first break as a Bollywood leading man came in 'Geet Gaya Patharon Ne'. Although Ravi Kapoor was born on April 7, 1942, Jeetendra birth's ... Read more from IMDB Bio Link","5' 9"" (1.75 m)","Jeetender,Jitendar,Jitendra",Jumpin' Jack,,Aries
Dev Anand,"https://m.media-amazon.com/images/M/MV5BMTk5MDI0OTQzOF5BMl5BanBnXkFtZTcwMTgwMzEzMQ@@._V1_UY317_CR104,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0007147/bio,September 26,1923,"Gurdaspur, Punjab, British India [now Gurdaspur, Punjab, India]","After having played the Lead Actor for more than five decades in over 110 motion pictures, Dev Anand continues to bestride Indian Cinema today. He has given a new dimension to that magical state known as Stardom. And for his exemplary work he was awarded the Padma Bhushan in 2001 by the President of India. From the time he embarked on his career ... Read more from IMDB Bio Link","5' 10½"" (1.79 m)","Dharam Dev Anand,Shri Dev Anand",Dev Saab,,Libra
Deepti Naval,"https://m.media-amazon.com/images/M/MV5BYjhjNWM1MmUtM2M3My00MWZmLWE5NDYtNTI5YTM3MWQwNGVhXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0622732/bio,February 3,1952,"Amritsar, Punjab, India","Deepti Naval is an Indian film actor, director, writer, painter and photographer. A multi-faceted personality, her major contribution has been in the area of art cinema, winning critical acclaim for her sensitive and close to life characters that emphasized the changing role of women in India. The first American-Indian actor to join Hindi films, ... Read more from IMDB Bio Link","5' 3"" (1.6 m)",Dipti Naval,,,Aquarius
Dimple Kapadia,"https://m.media-amazon.com/images/M/MV5BNTc4MTE1NDU5MF5BMl5BanBnXkFtZTcwNDI2MTcxOA@@._V1_UY317_CR122,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0438092/bio,June 8,1957,,"Born in a Gujerati-speaking family on June 8, 1957, daughter to businessman, Chunnibhai and Betty, Dimple has a younger sister, Simple, who was born on 15 August 1958. She was discovered by Raj Kapoor, who signed her up opposite his son, Rishi, in the 1973 hit 'Bobby'. The film made Rishi and her stars overnight, at the time she was just 16 years ... Read more from IMDB Bio Link","5' 2½"" (1.59 m)","Dimple,Dimple Jatin Khanna",,,Gemini
Darsheel Safary,"https://m.media-amazon.com/images/M/MV5BMjYyYzViMmYtMjU4Yi00NGM3LWFjZTEtZmFkOGFmOTllY2I2XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR5,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm2594301/bio,March 9,1996,,"Born in the same city and on the same month as his family friend Aamir Khan, Darsheel Safary (born March 9, 1997 in Mumbai, India) is an Indian child movie actor primarily working on starring in Hindi Bollywood films. He is best known for his acclaimed portrayal of a dyslexic child in the 2007 film Taare Zameen Par (Like Stars on Earth), a drama ... Read more from IMDB Bio Link","5' 10"" (1.78 m)",Darsheel Safari,Darsh,,Pisces
Deepak Tijori,"https://m.media-amazon.com/images/M/MV5BNmIwYzhiNjUtYmY3NS00YjdhLTlkM2UtZDJhZDJiNDkzNDI5XkEyXkFqcGdeQXVyNDY2Nzg2NQ@@._V1_UY317_CR51,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0863120/bio,August 28,1961,"Bombay, Maharashtra, India","Deepak Tijori was born on August 28, 1961 in Bombay, Maharashtra, India. He is an actor and director, known for",,"Depak Tijori,Dipak Tijori",,,Virgo
Deepika Padukone,"https://m.media-amazon.com/images/M/MV5BNGFlYzAyYjgtNzRjNS00NmE4LTliOGYtYzBkYzU5MzRhMDM0XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm2138653/bio,January 5,1986,"Copenhagen, Denmark","Deepika Padukone, born 5 January 1986 in Copenhagen, Denmark, is an Indian model & Actress. She is the daughter of former badminton Champion Prakash Padukone. Her mother tongue is Konkani. Deepika has a younger sister named Anisha. She has been modeling appearances in print and television advertising campaigns for Liril, Close-Up toothpaste and ... Read more from IMDB Bio Link","5' 7½"" (1.71 m)",,,,Capricorn
Dharmendra,"https://m.media-amazon.com/images/M/MV5BMTk0ODU5NjAzMl5BMl5BanBnXkFtZTcwNDYyOTM5NA@@._V1_UY317_CR131,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0004429/bio,December 8,1935,"Nasrali, Punjab, British India","Dharmendra is one of the biggest stars of Indian cinema. Dharmendra Deol played the romantic hero in woman centric films from 1960-1968 and became romantic hero from 1968-69 and played the role of action hero from 1971-1997. Dharmendra has appeared in 306 films. He is known as 'Garam' Dharam in Bollywood. Had the looks of a real gentle man, ... Read more from IMDB Bio Link","5' 10"" (1.78 m)","Dharmendra Deol,Dharmender,Mr. Dharmendra,Dharmindera,Dharminder,Dilawar Kewal Krishn Khan",Dharminder,,Sagittarius
Jimmy Sheirgill,"https://m.media-amazon.com/images/M/MV5BMjM2MTc1NTk5OF5BMl5BanBnXkFtZTgwOTI4NDczMDE@._V1_UY317_CR130,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0792116/bio,December 3,1970,"Gorakhpur, Uttar Pradesh, India","Shergill was born in a Sikh family in Gorakhpur, Uttar Pradesh. He moved to Punjab, the place of his ancestors, in 1985 where he studied in Yadavindra Public School, Patiala and Bikram College Patiala. He learnt acting from Sri Harpal Singh, and then moved to Mumbai to work in the entertainment industry. He's married to Priyanka Puri from Delhi ... Read more from IMDB Bio Link","5' 5¾"" (1.67 m)","Jimmy Shergil,Jasjiet Shergill,Jimmy Shergill,Jusjit Shergill",,,Sagittarius
Chunky Pandey,"https://m.media-amazon.com/images/M/MV5BMTk5NjI3MTEwNF5BMl5BanBnXkFtZTgwMzU2MTMzOTE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0659233/bio,September 26,1962,"Gorakhpur, Uttar Pradesh, India","Chunky Pandey was born in Bombay, India on September 26, 1962 in a non-film household. Chunky's real name is Suyash Sharad Pandey, but is also known as Chandrakant Pandey. He shot into fame with a secondary role in 'Tezaab' which had Anil Kapoor and Madhuri Dixit in the lead roles. He continued to meet considerable success in secondary and ... Read more from IMDB Bio Link","5' 11"" (1.8 m)","Chunkey Panday,Chunky Panday,Chunkey Pandey,Chunky Pundey",,,Libra
Binnu Dhillon,,https://www.imdb.com/name/nm3839111/bio,,,,"Binnu Dhillon is an actor and producer, known for","5' 6"" (1.68 m)",,,,
Danny Denzongpa,"https://m.media-amazon.com/images/M/MV5BMzI4Njg3OTcyNF5BMl5BanBnXkFtZTcwNzQzMTYxOA@@._V1_UY317_CR16,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0219939/bio,February 25,1948,"Gangtok, Sikkim","Danny, who married Gawa Denzongpa, a Sikkimese princess and niece of the last chogyal from her hometown of Gangtok, currently resides in Juhu in Mumbai. He likes to listen to Nepali folk music especially Nepali flutes. In recent times he has become more selective as to the roles he plays. He does not work in March, April, and May as they are hot. ... Read more from IMDB Bio Link",,"Danny,Danny Danzogppa,Danny Danzongappa,Danny Danzongpa,Danny Dengzongpa,Danny Denzogpa,Danny Denzongappa",,,Pisces
Balraj Sahni,"https://m.media-amazon.com/images/M/MV5BZDgwMGMzMWUtMmQ1Yi00NjM0LTlkMDgtMTk5MmFkMWJhNDY1XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR15,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0756379/bio,May 1,1913,"Rawalpindi, Punjab, British India [now Punjab, Pakistan]","Balraj Sahni was born on May 1, 1913 in Rawalpindi, Punjab, British India. He was an actor, known for",,"Balraj,Balraj Sahani,Shri Balraj Sahni",,,Taurus
Chiranjeevi,"https://m.media-amazon.com/images/M/MV5BOGQ4MTc3MWYtNmUxNi00Nzk3LWFjMDItM2Y1NmVmMDEyNWIxXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR3,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0158112/bio,August 22,1955,"Narasapur, Andhra Pradesh, India","This Telugu Star was a student at the Madras Film Institute and an amateur stage actor. His first public performance was in the Republic Day parade ballet of Andra Pradesh on 26 January, 1976. His film debut was Punadhirallu (1978). His brother-in-law is producer Allu Aravind. His success started with Initilo Ramayya Vidhilo Krishnayya (1981). He ... Read more from IMDB Bio Link","5' 9"" (1.75 m)","Mega Star Chiranjeevi,Supreme Hero Chiranjeevi,Chiru,Megastar",Megastar,,Leo
Bharat Bhushan,"https://m.media-amazon.com/images/M/MV5BODIwNGY2OGItN2I4Ny00Y2ExLWEzZmQtMTI0M2IxMWQxYTU5XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY317_CR3,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0080445/bio,June 14,1920,"Meerut, United Provinces of Agra and Oudh, British India","Bharat Bhushan was born on June 14, 1920 in Meerut, United Provinces of Agra and Oudh, British India. He was an actor, known for",,"Bharat Bhooshan,Late Bharat Bhushan",,,Gemini
Boman Irani,"https://m.media-amazon.com/images/M/MV5BNTc4ZjFlMjUtODU3MS00M2JhLTlkMzEtMmIyODFiMjAwZmJhXkEyXkFqcGdeQXVyNTE0MDc0NTM@._V1_UY317_CR93,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm1224082/bio,December 2,1959,"Bombay, State of Bombay, India","Boman Irani was born on December 2, 1959 in Bombay, State of Bombay, India. He is an actor, known for","5' 10½"" (1.79 m)",,,,Sagittarius
Adil Hussain,"https://m.media-amazon.com/images/M/MV5BN2Q2YzA4MDMtMzVkYy00ZTMwLTgzN2EtZTc4NTRiODhkNzM3XkEyXkFqcGdeQXVyMjA4ODEzMzE@._V1_UY317_CR25,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm1300009/bio,,,,"Adil Hussain is known for his critically acclaimed performances in award winning films such as Ang Lee's Oscar winning Life of Pi, Subhashish Bhutiani's Hotel Salvation/Mukti Bhavan, Iram Haq's What Will People Say, Danis Tanovic's Tigers, Mira Nair's The Reluctant Fundamentalist, Pan Nalin's Angry Indian Goddesses, Partho Sen-Gupta's Sunrise, ... Read more from IMDB Bio Link","6' 1"" (1.85 m)",Adil,,,
Amrish Puri,"https://m.media-amazon.com/images/M/MV5BYWRlMTk2NWYtYjhjNy00NmRjLTg4NWMtMmM2YjJlN2YwNWE4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR11,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0700869/bio,June 22,1932,"Nawanshahr, Jullundur, Punjab, British India","Believe it or not, Amrish Puri wanted to become a Bollywood movie hero but failed a screen test in 1954. And what a failure it was! Mr. Puri went on to become one of the most renowned and credible villains in the history of Indian cinema. His most memorable and often quoted role is the character of 'Mogambo' (with the catchphrase ""Mogambo Khush ... Read more from IMDB Bio Link","5' 10"" (1.78 m)",,,,Cancer
Anupam Kher,"https://m.media-amazon.com/images/M/MV5BMjMyMjc1OTgzNF5BMl5BanBnXkFtZTgwMDY1NDMzOTE@._V1_UY317_CR4,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0451600/bio,March 7,1955,"Shimla, Himachal Pradesh, India","Anupam Kher was born on March 7, 1955 in Shimla, Himachal Pradesh, India. He is an actor and producer, known for","5' 6"" (1.68 m)",Anupum Kher,,,Pisces
Ashish Vidyarthi,"https://m.media-amazon.com/images/M/MV5BMzk5Mzc5Y2YtYjJjYy00OGIyLTg4MzctZTMxNDBiYzY2MTcxXkEyXkFqcGdeQXVyNjc0MTQwOTc@._V1_UY317_CR175,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0896573/bio,June 19,1962,"Tellicherry, Kerala, India","Ashish Vidyarthi was born on June 19, 1962 in Tellicherry, Kerala, India. He is an actor, known for",,"Ashish Bidyarthi,Ashish Vidhayarthi,Aashish Vidhyarthi,Ashish Vidhyarthi,Ashish Yidyarthi",,,Gemini
Annu Kapoor,"https://m.media-amazon.com/images/M/MV5BMjE4MjAxODk1NV5BMl5BanBnXkFtZTcwODQ0MjY2Nw@@._V1_UY317_CR131,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0438465/bio,February 20,1956,"Bhopal, Bhopal State, India","Annu Kapoor made his debut in the film Mandi directed by Shyam Benegal in 1983.His career has spanned nearly 30 years including a distinctive presence in Bollywood cinema, television serials, and reality game shows. He is best remembered for hosting the singing show Antakshari, produced by ZEE TV. His performance as an obsessive-compulsive Sperm ... Read more from IMDB Bio Link",,Anu Kapoor,,,Pisces
Ayushmann Khurrana,"https://m.media-amazon.com/images/M/MV5BOTk4MDY4ODAwNl5BMl5BanBnXkFtZTcwNzQ0MjY2Nw@@._V1_UY317_CR131,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm4731677/bio,September 14,1984,"Chandigarh, Punjab, India","Ayushmann Khurrana was born on 14 September 1984 in Chandigarh, India. Ayushmann started off his career as a popular radio jockey, and eventually became a VJ on MTV India and one of the most popular hosts in India. He shot to stardom with the runaway hit, 'Vicky Donor' in 2012. His effortless act in his debut won him rave reviews and the film went... Read more from IMDB Bio Link","5' 6¼"" (1.68 m)",,Ayush,Awesome Voice,Virgo
Anil Kapoor,"https://m.media-amazon.com/images/M/MV5BMjUyMWE5MjUtMDlkMC00ODc0LThkOTgtNjZhNDgyMTU5ZDhlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0438463/bio,December 24,1956,"Chembur, State of Bombay, India","Living in a Chawl in Tilak Nagar, Punjabi-speaking Anil was born in 1959 to Surinder and Nirmal aka Suchitra Kapoor. He has an elder brother, Boney, a sister, Reena, and a younger brother, Sanjay. His dad used to be Shammi Kapoor's Secretary. A loner, without many friends, he studied in the nearby O.L.P.S. (Our Lady of Perpetual Succor) School, and... Read more from IMDB Bio Link","5' 7"" (1.7 m)","The Anil Kapoor,Cameo,Mr. Anil Kapoor,Shri Anil Kapur",Lakkhan,,Capricorn
